bde_ald_CH_kcal,E_parent,E_fragA,E_fragB,id
116.601,-10.35662247393,-9.777323800402,-0.393482763936,2.0
116.467,-13.520211378253,-12.941125965491,-0.393482763936,15.0
115.804,-16.686086629978,-16.108057715075,-0.393482763936,16.0
110.04,-20.838332458627,-20.269490445502,-0.393482763936,0.0
102.787,-22.071677952873,-21.514392949412,-0.393482763936,3.0
104.644,-26.14779407771,-25.587550125886,-0.393482763936,10.0
111.083,-26.155972244239,-25.58546710467,-0.393482763936,17.0
105.133,-30.222330778533,-29.661307262602,-0.393482763936,13.0
109.39,-28.06445084533,-27.496643584323,-0.393482763936,9.0
105.292,-33.381970756095,-32.820694898594,-0.393482763936,1.0
116.406,-16.685216066388,-16.106227970112,-0.393482763936,4.0
116.745,-14.391064848901,-13.811537547059,-0.393482763936,33.0
114.739,-25.234992382738,-24.658661162924,-0.393482763936,21.0
116.388,-19.852178347966,-19.273219839386,-0.393482763936,7.0
103.719,-32.366090794592,-31.807321630867,-0.393482763936,29.0
103.443,-25.243634379982,-24.685304432964,-0.393482763936,27.0
108.51,-29.814669875315,-29.248266163025,-0.393482763936,30.0
81.637,-22.464408067616,-21.940828355987,-0.393482763936,36.0
115.956,-19.8512075763,-19.272937731799,-0.393482763936,24.0
103.491,-36.821828914135,-36.263422686025,-0.393482763936,11.0
