E_acyl_orca_Eh,E_h_orca_Eh,id,bde_gxtb_kcal,bde_alfabet_kcal,bde_dft_kcal,error
-834.583052663089,-0.497326434673,181922.0,56.413,87.662895,61.7691785757016,
,,77194.0,70.132,90.27913,,orca_failed_acyl
-1206.758173057662,-0.497326434673,65724.0,74.01,90.82621,98.96518376318451,
-1531.504529338658,-0.497326434673,95086.0,76.218,88.19328,94.3593702824915,
-1150.448009293515,-0.497326434673,106262.0,77.883,88.59092,94.61834761589976,
-5947.913365880301,-0.497326434673,12676.0,79.277,89.95918,99.51695754948545,
-1272.200240246242,-0.497326434673,53192.0,80.465,89.21854,94.36700863469285,
-927.202852852177,-0.497326434673,167280.0,81.51,89.21854,94.20682869496929,
-685.255780544226,-0.497326434673,15027.0,82.46,92.43913,94.89417175263127,
-934.753656521002,-0.497326434673,23353.0,83.309,89.08241,95.81831123895074,
-1722.056395011621,-0.497326434673,48873.0,84.091,88.89012,108.51189737623348,
-1152.628321525782,-0.497326434673,30467.0,84.827,88.81545,94.56279017613632,
-1303.04919489694,-0.497326434673,134970.0,85.511,88.98092,107.53732654301942,
-1112.420209795323,-0.497326434673,150524.0,86.195,90.09893,101.85623305793031,
-783.656829671255,-0.497326434673,83739.0,86.852,88.11286,95.72525666363292,
-3210.733844154797,-0.497326434673,183178.0,87.524,89.09467,100.5623432329369,
-786.978902573877,-0.497326434673,153584.0,88.199,90.402016,101.3430717437543,
-916.353347919218,-0.497326434673,124838.0,88.896,90.18711,106.63699974662535,
-697.337774564354,-0.497326434673,206762.0,89.629,87.81743,93.64106862247469,
-1057.495205887851,-0.497326434673,32683.0,90.422,90.57287,102.3332206352572,
-837.888841787607,-0.497326434673,72641.0,91.3,90.59692,94.73163395123346,
-1323.679189659234,-0.497326434673,136779.0,92.351,89.59265,107.99036724804196,
-492.435887094111,-0.497326434673,24021.0,93.757,91.45661,107.64737663747881,
-768.327259543341,-0.497326434673,145349.0,96.039,90.45977,107.10320807471075,
-864.502236779032,-0.497326434673,185266.0,113.847,90.05212,97.14266252646232,
