tag,pct_routed,pct_background,enrichment_ratio,n_routed_with_tag
ald_sulfonyl,18.77091572862793,1.66997798421307,11.240217479557488,617
prod_sulfonyl,18.77091572862793,1.66997798421307,11.240217479557488,617
prod_sulfonyl_F,0.3346516580468512,0.032218224775814853,10.38702971301085,11
ald_sulfonyl_F,0.3346516580468512,0.032218224775814853,10.38702971301085,11
ald_has_P,2.646790386370551,0.2792246147237287,9.479072570265147,87
prod_has_P,2.646790386370551,0.2792246147237287,9.479072570265147,87
prod_imine,5.506540918770916,1.5303656768512055,3.5981863694831846,181
ald_imine,5.506540918770916,1.5303656768512055,3.5981863694831846,181
ald_amide,39.33678125950715,11.45357890780218,3.4344532461125254,1293
prod_amide,39.33678125950715,11.45357890780218,3.4344532461125254,1293
ald_ester,16.610891390325524,9.166084948719327,1.8122122458232701,546
prod_ester,16.610891390325524,9.166084948719327,1.8122122458232701,546
prod_nitro,5.415272284758138,3.581592654244751,1.5119732497608818,178
ald_nitro,5.415272284758138,3.581592654244751,1.5119732497608818,178
prod_has_B,0.6997261940979617,0.47253396337861786,1.4807955582598114,23
ald_has_B,0.6997261940979617,0.47253396337861786,1.4807955582598114,23
ald_nitrile,4.928506236689991,3.570853245986146,1.3802040849004165,162
prod_nitrile,4.928506236689991,3.570853245986146,1.3802040849004165,162
prod_soft_S_thioether,10.161241253422574,9.192933469365839,1.1053317515332277,334
ald_soft_S_thioether,10.161241253422574,9.192933469365839,1.1053317515332277,334
ald_azine_N,40.03650745360511,38.03898405197874,1.052512532903004,1316
prod_azine_N,40.03650745360511,38.03898405197874,1.052512532903004,1316
prod_furan_O,5.7499239428049895,5.503946732535037,1.0446910593839738,189
ald_furan_O,5.7499239428049895,5.503946732535037,1.0446910593839738,189
ald_thiophene_S,5.3848494067538795,5.369704129302475,1.002820505019775,177
prod_thiophene_S,5.3848494067538795,5.369704129302475,1.002820505019775,177
prod_halogen,70.85488287191968,75.35842775063094,0.9402383381243838,2329
ald_halogen,70.85488287191968,75.35842775063094,0.9402383381243838,2329
ald_has_Si,1.064800730149072,1.1705955001879396,0.9096231191544114,35
prod_has_Si,1.064800730149072,1.1705955001879396,0.9096231191544114,35
