index,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
301,-12.4,-11.0,-0.96
945,-16.04,-16.04,1.88
1581,-12.19,-12.16,3.35
7490,-11.45,-11.04,5.47
8523,-21.47,-21.5,-3.33
9810,-7.11,-6.95,2.6
10310,-13.15,-14.5,-3.22
14004,-16.86,-16.74,3.48
14993,-9.41,-9.1,0.33
18852,-11.05,-10.86,0.13
19055,-10.01,-9.0,1.17
19647,-10.34,-10.04,0.8
20148,5.93,6.62,-21.99
20524,-12.25,-11.09,-4.58
20633,-6.15,-5.72,-0.56
20893,-12.2,-12.32,-4.31
20903,-9.21,-9.07,1.34
23561,-9.34,-9.41,-0.59
23604,-19.64,-20.33,9.65
25286,-4.71,-3.81,2.49
26521,-15.74,-15.86,3.68
27953,-10.72,-10.68,2.3
29876,-10.5,-10.11,1.35
31509,-15.24,-15.13,-3.36
33059,-8.92,-8.64,2.92
33622,-7.12,-5.99,2.85
34632,-15.84,-15.54,1.16
36337,-10.46,-10.38,-1.2
37599,-11.25,-10.2,0.7
37949,-7.37,-6.43,6.36
38074,-11.85,-11.55,-7.15
38142,-5.21,-5.18,7.53
38887,-11.47,-11.09,1.85
39349,-12.03,-11.84,2.88
40340,-6.97,-6.82,2.73
42153,-12.15,-13.97,0.12
42376,-8.23,-8.08,3.54
42414,-4.11,-4.16,6.17
43168,-14.82,-14.1,-5.06
43680,-16.45,-15.9,1.19
44261,-8.32,-8.1,0.88
46082,-11.56,-11.05,-0.07
49484,-10.74,-10.43,0.21
52233,-13.16,-12.95,0.51
53509,-14.5,-14.24,0.2
53638,-8.71,-8.61,-4.95
57666,-21.54,-21.58,-8.54
58852,-12.68,-12.41,0.11
63366,-9.65,-9.71,0.94
65708,-7.74,-10.52,0.8
65729,-12.87,-12.48,-4.1
66005,-14.35,-14.22,0.32
66533,-10.22,-10.34,-2.8
78340,-8.98,-8.99,2.21
78740,-11.56,-10.47,0.46
79877,-8.64,-7.5,2.17
82510,-12.21,-12.5,1.41
83123,-9.13,-8.61,-0.45
84092,-9.2,-9.04,-13.1
84514,-9.95,-9.83,1.62
89383,-10.79,-12.38,-2.55
93146,-10.47,-10.58,-4.53
94883,-13.85,-13.79,-5.6
94899,-9.19,-8.05,-0.5
96226,-12.1,-11.9,-1.92
96280,-13.41,-11.17,0.98
96596,-15.55,-15.24,0.37
96667,-12.92,-13.02,-10.35
97012,-12.06,-11.81,-2.99
102059,-9.65,-9.88,1.6
112387,-8.85,-8.66,6.23
113106,-6.67,-7.72,1.68
116246,-2.09,-1.17,3.63
124338,-10.9,-9.68,-5.71
126222,-7.43,-7.21,8.22
138777,-9.8,-10.3,-0.61
140060,-1.53,-1.2,5.11
142234,-10.63,-9.82,2.28
142600,-12.8,-14.52,-0.41
143685,-14.64,-13.87,-5.93
146512,-12.7,-12.28,-5.07
148726,-24.3,-24.71,-20.28
149066,-14.6,-14.68,-5.05
149752,-11.5,-11.45,-8.37
152801,-10.89,-10.03,-1.05
153390,-7.64,-7.19,1.63
162845,-9.88,-9.02,-0.74
163546,-10.47,-10.09,2.55
163666,1.94,2.28,13.84
163775,-5.75,-5.19,2.06
165349,5.45,5.5,17.61
166389,-17.09,-15.65,-7.42
166589,-11.51,-11.36,-0.08
169564,-14.96,-14.8,-2.85
171140,17.72,18.05,30.77
171657,-14.48,-14.45,-6.26
174929,-6.69,-5.5,0.32
175424,-5.16,-4.73,2.8
175604,-12.37,-11.53,-5.42
178021,-8.37,-6.61,2.5
178423,-8.57,-8.12,-0.69
178678,-11.87,-11.74,2.09
185701,-2.75,-2.79,12.01
186177,-8.76,-8.43,4.61
186833,-4.94,-4.87,9.55
189823,-2.27,-2.0,10.8
190797,-12.45,-12.31,-3.48
192274,-8.31,-8.15,1.71
193923,-10.27,-10.1,8.63
194079,-13.11,-13.36,-5.75
194381,-8.45,-8.11,3.22
194772,-11.82,-11.56,3.95
195465,-11.58,-11.37,3.4
195856,-3.34,-3.12,9.22
196996,-9.42,-10.13,1.62
198114,-1.82,-1.71,10.62
199350,-8.53,-8.35,3.16
200240,-10.33,-10.18,0.66
202882,-16.87,-15.93,-4.62
203149,-9.76,-9.66,1.13
203418,-11.97,-11.96,-4.49
203589,-9.05,-8.05,-0.61
208809,-6.39,-6.12,9.65
209832,-16.45,-16.2,-5.87
209919,-15.49,-15.62,-1.47
210938,-16.05,-16.12,-6.36
211291,-11.08,-9.84,2.77
212696,-10.07,-7.64,2.46
213050,-9.07,-8.67,4.31
213797,-10.29,-9.06,-4.59
214570,-7.79,-7.58,5.31
217903,-23.98,-23.74,-6.29
218773,-7.0,-5.62,6.99
219078,-7.33,-7.03,5.55
220562,-12.0,-12.03,-5.29
220748,-5.83,-5.6,6.6
221492,-2.08,-1.61,10.37
221685,-26.94,-28.06,-12.85
222915,-6.19,-5.22,-0.04
223479,-9.65,-9.44,-0.72
223594,-17.16,-17.14,7.28
224676,-10.37,-10.15,-5.2
224786,-11.94,-11.87,-2.4
226251,-14.97,-14.81,1.02
227625,-10.72,-10.66,0.64
229669,-14.19,-13.83,-2.78
231135,-14.16,-13.99,-2.46
232296,-17.02,-16.76,-3.1
233086,-15.22,-15.05,-2.5
233145,-22.58,-21.02,-2.9
233196,-20.42,-20.22,0.97
233241,-17.0,-16.83,-3.59
234783,-13.28,-12.98,-1.78
235238,-11.78,-11.61,2.02
236257,-11.03,-10.69,2.52
236605,-12.84,-12.46,-1.52
238539,-17.0,-15.61,-0.71
238565,-10.38,-10.34,-2.13
238714,-9.07,-8.83,25.03
239290,-12.53,-12.18,-0.28
244067,-13.86,-12.79,-1.55
244179,-12.1,-15.23,-4.08
245043,-6.75,-6.7,3.61
245740,-3.47,-2.95,-2.45
245774,-5.51,-5.67,3.96
245885,-13.21,-12.99,1.01
247861,-11.0,-10.76,0.57
249274,-11.43,-9.03,2.24
250443,-9.31,-8.2,1.38
250456,-8.41,-8.13,5.72
250574,-5.89,-3.58,6.05
251806,-19.72,-19.48,-1.76
256469,-8.7,-8.34,-2.87
258716,-11.73,-13.14,-5.66
268969,-5.52,-5.33,4.78
272328,-12.33,-12.26,-6.03
272718,-8.89,-9.05,-0.63
273602,-7.93,-9.81,5.03
275066,-4.28,-3.81,8.34
275616,-10.01,-9.86,0.45
275792,-13.15,-13.35,-1.58
276530,-13.07,-13.05,-1.58
276852,-10.34,-10.25,-3.29
278491,3.45,3.3,13.11
280552,-15.66,-15.95,-4.45
281379,-13.36,-13.27,-4.28
290662,-6.49,-6.42,5.22
